education_id,country_code,post_sec_enrollment_female,post_sec_enrollment_male,sec_enrollment_male,sec_enrollment_female,prim_enrollment_female,prim_enrollment_male
1,AF,4.9,14.2,70.1,40,82.9,124.2
2,AL,67.6,43,95.2,95.7,109.1,105.2
3,DZ,64.4,38.8,97.8,101.5,107.3,112.4
4,AD,,,,,,
5,AO,8.5,10.2,61.8,39.7,105.9,121.1
6,AG,34.3,15.3,113.3,109.1,104.6,105.4
7,AR,112.8,67.8,106.5,111,109.6,109.9
8,AM,62.6,47.1,81.7,84.8,92.7,92.7
9,AU,133.3,93.8,159,141.2,100.3,100.3
10,AT,92.5,78.1,102.5,98.3,103,103.2
11,AF,4.9,14.2,70.1,40,82.9,124.2
12,AL,67.6,43,95.2,95.7,109.1,105.2
13,DZ,64.4,38.8,97.8,101.5,107.3,112.4
14,AD,,,,,,
15,AO,8.5,10.2,61.8,39.7,105.9,121.1
16,AG,34.3,15.3,113.3,109.1,104.6,105.4
17,AR,112.8,67.8,106.5,111,109.6,109.9
18,AM,62.6,47.1,81.7,84.8,92.7,92.7
19,AU,133.3,93.8,159,141.2,100.3,100.3
20,AT,92.5,78.1,102.5,98.3,103,103.2
21,AZ,29.7,25.9,94.4,94.5,100,99.5
22,BS,,,67.3,71.6,81.2,81.6
23,BH,67.8,37,95.8,101.7,98.8,100
24,BD,17,24,67.4,78.3,120.8,112.4
25,BB,90.6,40.3,101.8,105.8,97.5,101.2
26,BY,95.1,80.2,103.1,101.7,100.4,100.6
27,BE,90.5,69.3,149.7,167.8,104,103.9
28,BZ,30.5,18.8,83.7,87.1,108.7,114.6
29,BJ,7.5,17,67.1,50.7,118,125.8
30,BT,15.5,15.6,84.7,95.7,100.2,100.1
31,BO,,,90.7,88.8,97.6,98.6
32,BA,,,,,,
33,BW,29.2,20.5,76.4,83.5,102.1,104.4
34,BR,59.4,43.5,99.3,102.4,113.4,117.4
35,BN,38.7,24.8,92.4,94.6,103.6,102.7
36,BG,78.8,63.7,99.5,96.8,89.1,89.6
37,BF,4.8,8.2,40.7,40.7,95.3,96.9
38,BI,3.8,8.4,45.8,51.1,122.2,120.7
39,CV,28.3,19,83.9,92.5,100.5,107.5
40,KH,12.9,14.4,48.7,41.6,106.1,108.7
41,CM,11.4,14.1,64.6,55.4,98,108.7
42,CA,79.3,59.1,113,114.5,100.8,101.1
43,CF,1.6,4.4,20.5,13.8,89.4,114.6
44,TD,1.5,5,30.9,14.2,75.5,98.2
45,CL,94.7,82.5,101.6,102,99.9,102.9
46,CN,55.9,45.9,88.3,88,100.8,99.7
47,CO,59.7,51.1,95,100.1,112.8,116.2
48,KM,8,9.9,57.6,61.4,99.4,99.6
49,CG,10.1,15.2,56.3,48.8,110.5,102.8
50,CD,4.7,8.5,56.3,36,107.6,108.4
51,CR,60.7,50,128.1,137.7,113.8,112.8
52,HR,78.8,57.4,97.1,101.8,96.5,96.4
53,CU,51,32.3,100.4,101.9,99.6,104.1
54,CY,82.4,69.6,101.1,99.5,99.4,99.3
55,CZ,75.3,53.4,103.1,103.9,101,100.4
56,DK,93.6,68.4,128.4,129.8,100.9,101.6
57,DJ,4.6,6,51.2,52.9,75.1,75.4
58,DM,,,94.7,93.8,113.2,116.2
59,DO,77,43,77,83,102.5,108.8
60,TL,14.8,20.6,80.3,87,113.2,117.3
61,EC,48.4,41.5,100.1,102.8,104.1,102.4
62,EG,35.8,34.6,88.5,87.3,106.5,106.1
63,SV,31.1,27.5,71.9,71.4,93.3,96.3
64,GQ,,,29.9,22.1,61.6,62
65,ER,2.8,3.9,49.9,45.4,63.1,73.6
66,EE,84.8,55.4,116.2,118.9,97.3,97.2
67,SZ,6.6,7,82.6,82.2,110.3,119.9
68,ET,5.3,10.9,35.6,34.2,96.1,105.8
69,FJ,17.6,14.7,85.7,94.3,105.2,107.6
70,FI,95.7,81,146.8,161.5,99.9,100.4
71,FR,72.8,58.7,103.5,104.1,102.2,102.8
72,GA,,,,,137.7,142.1
73,GM,2.2,3.2,51.2,49.1,102.5,93.6
74,GE,68.1,60.2,105.3,106.8,99.2,98.1
75,DE,70.7,69.8,101.4,95.2,104.2,103.9
76,GH,13.6,17.7,64.6,64.5,105.6,104.1
77,GR,137,136.2,107.5,101.4,99.6,99.5
78,GD,116.2,93.2,118.2,122.1,106,107.7
79,GT,23.6,20,54,51.4,100.5,103.2
80,GN,7,16.2,47.5,31,82.4,100.5
81,GW,,,,,114.5,122.9
82,GY,15.4,7.8,96.3,99.2,96,99.6
83,HT,,,,,,
84,HN,30.3,22.2,48.6,55.9,91.5,91.6
85,HU,53.9,43.3,103.4,103.6,100.5,101.1
86,IS,94.4,50.6,118.1,116.9,100.3,100.4
87,IN,29.1,27.2,73.9,76.6,121.1,105.6
88,ID,39,33.8,87.8,90,104.6,108.1
89,IR,62.9,73.3,87.9,84.7,113.9,107.7
90,IQ,12,20.1,61.4,46,99.1,117.8
91,IE,82,73.7,126.3,124.3,100.7,101
92,IL,74.5,52.8,104.2,106,105.4,104.4
93,IT,71.5,53,101.6,100.9,100.3,103.4
94,CI,7.6,11.1,57.7,44.3,96,103.6
95,JM,34.7,19.9,81,83.6,88.9,93
96,JP,,,,,,
97,JO,37.4,31.5,62.1,64.2,80.7,82.2
98,KZ,68.4,55.4,112.7,113.8,105.3,103.5
99,KE,9.7,13.2,59.9,53.7,103.4,103
100,KI,,,82.7,91.4,104.9,97.9
101,KP,18.2,35.5,92.3,93.3,112.8,112.8
102,KR,82.8,104.8,100.6,100,98,98.2
103,KW,76.1,35.8,94.9,101,97.2,88.1
104,KG,46.7,36,95.1,95,107.2,107.9
105,LA,15.5,14.4,69.6,65,100.4,104.3
106,LV,105.1,72,111.3,110.2,99.5,99.3
107,LB,,,,,,
108,LS,12.4,8,52.8,71.3,117.8,124.1
109,LR,9.2,14.7,42.8,32.9,84.7,85.5
110,LY,,,90.2,106,106.6,111.3
111,LI,27.4,43.6,129.1,105.1,102.9,106.3
112,LT,84,61.4,110.6,106,103.9,103.9
113,LU,20.1,18.2,102.6,104.8,102,102.6
114,MG,5.2,5.5,36,37.1,143.1,142
115,MW,0.6,1,40.6,39.9,143.1,141.8
116,MY,49.9,40.7,78.8,85.4,106,104.6
117,MV,59.8,16.6,,,98.1,96.2
118,ML,2.7,6.3,45,37,71.6,79.5
119,MT,63.2,46,104.8,104.7,105.1,104.9
120,MH,23.8,23.5,62.4,66.6,84.6,84.9
121,MR,3.3,6.6,36.5,37.1,102.8,97.1
122,TR,,,108.5,103.4,92.7,93.6
123,MX,40.6,39.8,100.7,108.2,106,105.5
124,FM,,,79.9,86.6,96,98.3
125,MD,45.7,34.2,87.3,86.5,90.6,90.6
126,MC,,,,,,
127,MN,76.7,54.7,88.3,94.8,102.8,105.3
128,ME,64.9,47.9,89.3,90.5,97.6,102.2
129,MA,35.7,36.2,83.7,76.6,111.5,116.1
130,MZ,6.5,8.1,37.4,33.4,108.4,116.8
131,MM,22,15.6,65.6,71.3,109.7,114.8
132,NA,30.3,15.3,61.5,70,122.1,126.4
133,NR,,,81.9,83.6,123.2,129.7
134,NP,12.8,12,77.4,83,143.5,140.8
135,NL,90.9,79.3,134.7,136.5,104.2,104.2
136,NZ,97.2,67.9,111.1,118.2,100.2,99.8
137,NI,,,69.1,78,120.1,121.1
138,NE,2.6,6.2,27.7,20.7,69.2,80.1
139,NG,8.3,12,44.1,39.8,82.2,87.2
140,MK,48.6,36.7,82.5,80.3,97.1,97.2
141,FR,72.8,58.7,103.5,104.1,102.2,102.8
142,OM,55.6,26.4,111,102.5,108.6,98.6
143,PK,8.3,9.6,45.9,39.1,86.1,102
144,PW,66.4,43.9,110.8,122.9,105.2,119.6
145,PA,58.6,37.3,74.1,78.3,93.4,95.4
146,PG,,,54.7,39.9,103.6,113.2
147,PY,40.9,28.6,73.3,78.6,103,105.7
148,PE,72.7,68.7,109.3,103.6,105.1,108.8
149,PH,40.4,30.8,82,90.6,105.5,109.4
150,PL,81.9,54.4,111.7,108.1,100,100
151,PT,67.7,60.1,121.1,118.7,104.4,107.9
152,QA,54.9,7,108.3,102.7,104.4,103.3
153,RO,55.4,43.8,91.1,91.4,84.6,85.7
154,RU,89.1,75,104.7,102.1,102.3,102.8
155,RW,6,7.5,38.5,43.3,132.1,134
156,KN,115.9,57.7,105.1,108.7,107.1,110.4
157,LC,18.7,9.4,89.3,89.4,103.2,102.1
158,VC,29.8,17.8,105.9,108.7,112.7,114.1
159,WS,,,88.8,98,110.4,110.6
160,SM,36,48.6,71.5,63.8,116.9,100.4
161,ST,13.7,13.1,82.9,95.9,105,108.5
162,SA,69.9,66.3,113.2,106.8,100.3,99.2
163,SN,10.3,15.2,41.7,45.7,86.1,75.9
164,RS,78.3,56.7,94.6,95.6,100.3,100.3
165,SC,23.3,11.2,78.8,84.2,103.3,97.6
166,SL,,,42.5,41.1,114.7,110.8
167,SG,91.2,78.9,108.1,107,100.6,100.7
168,SK,56.6,37.1,90.5,91.6,98.4,99
169,SI,93,64.9,114.2,117.1,100.6,100.2
170,SB,,,49.5,47,106,106.4
171,SO,,,8.1,3.7,16.6,30.1
172,ZA,26.4,18.4,100.4,109,99.1,102.6
173,SS,,,14.3,7.7,60.4,85.3
174,ES,97,81.1,125.2,126.9,103.6,101.9
175,LK,23.4,15.8,98,102.6,99.6,100.7
176,SD,17.1,16.8,46.3,47,74.4,79.2
177,SR,,,67.1,88.6,108.7,109
178,SE,82.1,52.7,148.1,157.9,127.4,125.8
179,CH,60.3,58.8,104.7,100.2,104.8,105.5
180,SY,42.8,37.5,52.7,52.4,80.2,83.1
181,TJ,26.9,35.5,93,83.8,100.3,101.4
182,TZ,2.8,5.2,28.8,30.1,95.4,93
183,TH,57.8,41,118.9,116.5,99.8,99.8
184,TG,9.8,19.2,71.6,52.1,121.5,126
185,TO,,,99.4,102.4,116,116.7
186,TT,,,,,104.4,108
187,TN,41.2,22.8,86.9,99.3,114.9,115.9
188,TR,,,108.5,103.4,92.7,93.6
189,TM,6.2,9.7,87.6,84,87.5,89.2
190,TV,,,62.5,71.2,82.5,89.4
191,UG,4.1,5.6,27.5,21.8,104.1,101.3
192,UA,88.8,76.8,96.9,95,100.1,98
193,AE,,,109.3,100.4,107.3,109.4
194,GB,69.4,51,124.1,127.7,101,101.3
195,US,102,75,99.2,98.7,101.4,102.2
196,UY,58,34.5,114.1,126.6,107.6,109.3
197,UZ,8.2,11.8,93.9,92.7,103.4,105
198,VU,,,53.5,54.9,107.8,110.7
199,VA,,,,,,
200,VE,100.3,59.3,84.7,91.6,96,98.3
201,VN,31.7,25.5,,,111.9,109.5
202,YE,6.2,14,59.6,43.3,87.1,99.9
203,ZM,3.5,4.8,,,99.9,97.5
204,ZW,9.2,10.9,53.5,51.3,108.7,111.1
